id;center_name;valid_from;valid_to;days_of_week;default_capacity;start_slots_time;end_slots_time;slot_duration;max_available_days;status;action_by;created_at;updated_at
1;driver;2021-08-16T01:31:13;Sausages;35803;23470;2021-08-15T22:31:12;2021-08-16T05:30:37;50323;85244;ACTIVE;Small XSS Berkshire;2021-08-16T06:15:49;2021-08-16T09:10:26
2;payment Shoes transmitting;2021-08-16T05:04:54;neural;88708;71924;2021-08-15T20:24:26;2021-08-15T22:58:11;70270;96676;ACTIVE;e-tailers Robust Sports;2021-08-16T12:49:35;2021-08-16T04:19:01
3;Borders Summit;2021-08-15T18:23:05;Incredible;27037;41109;2021-08-15T15:47:09;2021-08-15T18:05:51;17357;83206;ACTIVE;Soft Gloves Concrete;2021-08-16T11:24:27;2021-08-15T21:16:41
4;aggregate panel;2021-08-15T17:01:43;Unbranded Jewelery;30825;95886;2021-08-15T20:54:37;2021-08-15T17:32:48;86805;32940;ACTIVE;tan online Multi-tiered;2021-08-15T16:16:22;2021-08-15T23:32:31
5;Computer;2021-08-15T21:51:35;Beauty;75044;40206;2021-08-15T21:32:41;2021-08-15T14:34:15;13838;93829;ACTIVE;Soap;2021-08-16T07:32:01;2021-08-16T04:03:22
6;Uruguay HTTP foreground;2021-08-16T09:31:31;e-services Rhode Table;99863;74775;2021-08-16T07:51:12;2021-08-15T21:56:52;28574;30752;ACTIVE;Frozen programming Account;2021-08-16T04:16:48;2021-08-15T14:45:42
7;Investment Loan Concrete;2021-08-15T17:02:41;Massachusetts Drives Graphic;28605;49530;2021-08-16T07:54:34;2021-08-15T19:41:04;52337;14590;ACTIVE;compressing synthesizing Rial;2021-08-15T20:42:14;2021-08-16T03:09:31
8;Identity index Causeway;2021-08-15T19:36:31;Skyway;72632;39788;2021-08-15T23:28:36;2021-08-16T13:12:51;15481;22104;ACTIVE;grey;2021-08-16T02:04:39;2021-08-16T00:18:05
9;District Garden Gloves;2021-08-16T12:04:59;deposit;68766;215;2021-08-16T01:15:49;2021-08-16T00:25:19;96805;9272;ACTIVE;THX Account;2021-08-16T10:16:04;2021-08-16T02:07:13
10;Islands Licensed;2021-08-15T20:06:09;visionary;84524;30410;2021-08-16T04:33:35;2021-08-15T23:13:49;47042;54823;ACTIVE;Pizza Grocery Hampshire;2021-08-16T12:48:08;2021-08-15T13:37:21
