id;reservator_id;reservator_type;reference_id;reference_type;reserve_type;status;action_by;created_at;updated_at
1;Cheese navigate;BIKER;Yuan Central;ORDER;RESERVE;ACTIVE;Viaduct synthesizing;2021-08-15T15:17:17;2021-08-15T22:13:32
2;Security Web redundant;BIKER;Automated;ORDER;RESERVE;ACTIVE;User-friendly redundant;2021-08-15T19:11:29;2021-08-15T17:57:23
3;green;BIKER;Brunei Outdoors Computer;ORDER;RESERVE;ACTIVE;1080p Coordinator magnetic;2021-08-15T16:46:15;2021-08-15T17:12:34
4;withdrawal Account;BIKER;Islands;ORDER;RESERVE;ACTIVE;compress;2021-08-16T00:47:12;2021-08-16T08:33:49
5;Outdoors Account program;CUSTOMER;Object-based Metrics;ORDER;RESERVE;ACTIVE;bandwidth;2021-08-16T04:32:22;2021-08-16T01:51:11
6;Vision-oriented;BIKER;user-centric;ORDER;RESERVE;ACTIVE;payment cross-platform convergence;2021-08-15T21:30:32;2021-08-16T00:03:18
7;out-of-the-box overriding;BIKER;Account evolve Qatar;ORDER;RESERVE;ACTIVE;Metal 1080p;2021-08-16T07:06:55;2021-08-15T15:01:24
8;generation system-worthy;CUSTOMER;synthesize Nebraska Concrete;ORDER;RESERVE;ACTIVE;Hat Cambridgeshire Innovative;2021-08-15T20:03:43;2021-08-15T16:25:50
9;Internal;CUSTOMER;calculating distributed silver;ORDER;RESERVE;ACTIVE;Mississippi;2021-08-16T10:46:40;2021-08-15T22:24:19
10;Gold;CUSTOMER;Rubber copy;ORDER;RESERVE;ACTIVE;driver;2021-08-16T04:22:31;2021-08-16T05:28:30
