id;start_time;end_time;capacity;remaining;availability_status;center_name;action_by;created_at;updated_at
1;2021-08-15T14:03:13;2021-08-15T18:34:42;71312;45794;AVAILABLE;Overpass RAM robust;HDD;2021-08-16T07:42:16;2021-08-15T16:54:51
2;2021-08-16T11:23:36;2021-08-16T02:59:37;49215;63812;AVAILABLE;plum;Suriname Bahrain;2021-08-16T03:41:01;2021-08-15T14:12:33
3;2021-08-16T04:40:12;2021-08-15T21:58:16;50498;78769;AVAILABLE;models;Berkshire;2021-08-16T12:31:50;2021-08-15T21:04:20
4;2021-08-16T02:37:27;2021-08-15T23:59:47;56426;41529;AVAILABLE;Intelligent Car Aruban;SDD cross-platform Fiji;2021-08-16T04:34:21;2021-08-16T09:38:27
5;2021-08-15T22:19:36;2021-08-15T14:14:46;65716;30949;AVAILABLE;optical Ways frictionless;clicks-and-mortar;2021-08-16T07:52:17;2021-08-15T18:45:00
6;2021-08-15T17:26:55;2021-08-16T04:46:09;64433;5863;AVAILABLE;Jewelery;Lithuania Gibraltar;2021-08-15T20:28:57;2021-08-15T19:11:52
7;2021-08-16T07:57:57;2021-08-16T04:11:05;34042;34027;AVAILABLE;Coordinator Pizza;Tactics;2021-08-16T08:35:26;2021-08-15T18:09:25
8;2021-08-15T20:41:37;2021-08-16T01:59:25;92156;42539;AVAILABLE;transmitter Gorgeous Cambridgeshire;XML;2021-08-16T03:08:55;2021-08-15T13:50:11
9;2021-08-15T19:17:13;2021-08-15T21:07:34;37108;77288;AVAILABLE;heuristic User-friendly Account;online silver;2021-08-15T13:27:12;2021-08-16T01:11:11
10;2021-08-15T15:54:23;2021-08-16T09:36:17;53897;3984;AVAILABLE;withdrawal;Eritrea XML;2021-08-16T04:17:07;2021-08-15T18:34:02
